appid,name,average_forever,average_2weeks,median_forever,median_2weeks,ccu,genre,price,categories,ratings,owners_average,MutualPlayerCount,single_player,multi_player,genre_Action,genre_Adventure,genre_Animation & Modeling,genre_Casual,genre_Design & Illustration,genre_Early Access,genre_Education,genre_Free to Play,genre_Game Development,genre_Gore,genre_Indie,genre_Massively Multiplayer,genre_Movie,genre_Nudity,genre_RPG,genre_Racing,genre_Sexual Content,genre_Simulation,genre_Sports,genre_Strategy,genre_Utilities,genre_Violent,genre_Web Publishing,categories_list,Single_Player,Multi_Player
2280,DOOM (1993),137,2,80,2,79,Action,4.99,"Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Full controller support, Steam Cloud, Remote Play Together, Family Sharing",0.8492916344496324,1500000.0,59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Full controller support', 'Steam Cloud', 'Remote Play Together', 'Family Sharing']",1,1
2290,Final DOOM,23,0,7,0,3,Action,0.0,"Single-player, Steam Cloud, Family Sharing",0.7819418412957027,750000.0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Single-player', 'Steam Cloud', 'Family Sharing']",1,0
2310,Quake,256,0,47,0,112,Action,9.99,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Full controller support, Steam Cloud, Remote Play Together, Family Sharing",0.836455131442361,1500000.0,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Full controller support', 'Steam Cloud', 'Remote Play Together', 'Family Sharing']",1,1
4760,Rome: Total War - Collection,2451,445,507,445,1039,Strategy,0.0,"Single-player, Multi-player, Steam Trading Cards, Family Sharing",0.8364491799806704,1500000.0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"['Single-player', 'Multi-player', 'Steam Trading Cards', 'Family Sharing']",1,1
8600,RACE 07,167,0,83,0,8,Racing,3.99,"Single-player, Multi-player, Family Sharing",0.7846760135565006,750000.0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"['Single-player', 'Multi-player', 'Family Sharing']",1,1
7670,BioShock,387,0,203,0,55,"Action, RPG",0.0,"Single-player, Partial Controller Support, Family Sharing",0.8609270095433222,3500000.0,205,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Single-player', 'Partial Controller Support', 'Family Sharing']",1,0
7670,BioShock,387,0,203,0,55,"Action, RPG",0.0,"Single-player, Partial Controller Support, Family Sharing",0.8609270095433222,3500000.0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"['Single-player', 'Partial Controller Support', 'Family Sharing']",1,0
13560,Tom Clancy's Splinter Cell,394,0,382,0,21,Action,9.99,"Single-player, Family Sharing",0.7874742454843994,750000.0,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Single-player', 'Family Sharing']",1,0
16300,Everyday Shooter,101,0,101,0,0,"Indie, Casual",9.99,"Single-player, Partial Controller Support, Family Sharing",0.7793812144015896,35000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"['Single-player', 'Partial Controller Support', 'Family Sharing']",1,0
16300,Everyday Shooter,101,0,101,0,0,"Indie, Casual",9.99,"Single-player, Partial Controller Support, Family Sharing",0.7793812144015896,35000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Single-player', 'Partial Controller Support', 'Family Sharing']",1,0
