appid,name,average_forever,average_2weeks,median_forever,median_2weeks,ccu,genre,price,categories 1,categories 2,ratings,owners_average,MutualPlayerCount,cat_1_Multi-player,cat_1_Single-player,cat_2_Single-player,cat_2_Multi-player,Action,Adventure,Animation & Modeling,Casual,Design & Illustration,Early Access,Education,Free to Play,Game Development,Gore,Indie,Massively Multiplayer,Movie,Nudity,RPG,Racing,Sexual Content,Simulation,Sports,Strategy,Utilities,Violent,Web Publishing,single player,multi player
37100,Aztaka,0,0,0,0,0,"['Action', 'Indie', 'RPG']",0,Single-player,,0.778326357,75000,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
41900,The Bard's Tale ARPG: Remastered and Resnarkled,421,0,451,0,6,"['Action', 'Adventure', 'RPG']",19.99,Single-player,,0.777792192,750000,38,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
22370,Fallout 3: Game of the Year Edition,1150,161,353,161,797,['RPG'],19.99,Single-player,,0.794650136,3500000,226,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
24980,Mass Effect 2 (2010 Edition),1156,0,277,0,12,['RPG'],0,Single-player,,0.835014289,1500000,109,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
45100,Secret of the Magic Crystals,172,0,158,0,4,"['Casual', 'Indie']",4.99,Single-player,,0.781042566,75000,31,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8850,BioShock 2,159,0,62,0,37,['Action'],0,Single-player,Multi-player,0.815039727,3500000,161,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
37030,UFO: Extraterrestrials Gold,268,0,268,0,0,['Strategy'],0,Single-player,,0.77872601,150000,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
12430,SlamIt Pinball Big Score,0,0,0,0,0,['Casual'],4.99,Single-player,,0.776957692,10000,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8190,Just Cause 2,946,15,184,15,161,"['Action', 'Adventure']",14.99,Single-player,,0.860354743,3500000,361,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50910,Professor Fizzwizzle and the Molten Mystery,0,0,0,0,0,['Casual'],6.99,Single-player,,0.779038034,10000,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
