appid,name,developer,publisher,score_rank,positive,negative,owners,average_forever,average_2weeks,median_forever,median_2weeks,ccu,genre,currency,final,categories,positive_ratio,ratings,owners_average,MutualPlayerCount
15520,AaAaAA!!! - A Reckless Disregard for Gravity,"Dejobaan Games, LLC","Dejobaan Games, LLC",,619,117,"100,000 .. 200,000",64,0,92,0,1,"Action, Indie, Sports",USD,9.99,"Single-player, Steam Achievements, Steam Leaderboards, Family Sharing",0.8410326086956522,0.7803096080817774,150000.0,20
32370,STAR WARS Knights of the Old Republic,"BioWare, Aspyr (Mac)","LucasArts, Aspyr (Mac), Disney, Lucasfilm",,26987,2637,"1,000,000 .. 2,000,000",2208,0,413,0,317,"Adventure, RPG",USD,9.99,"Single-player, Steam Cloud, Family Sharing",0.9109843370240346,0.8451238332992902,1500000.0,91
8980,Borderlands Game of the Year,Gearbox Software,2K,,28254,2908,"1,000,000 .. 2,000,000",1979,0,797,0,133,"Action, RPG",USD,29.99,"Single-player, Multi-player, Co-op, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing",0.9066812142994674,0.8445823453229058,1500000.0,359
41500,Torchlight,Runic Games,Gearbox Publishing,,6009,582,"1,000,000 .. 2,000,000",494,0,413,0,43,RPG,USD,14.99,"Single-player, Steam Achievements, Steam Cloud, Includes level editor, Family Sharing",0.9116977696859354,0.8031208170212536,1500000.0,116
17450,Dragon Age: Origins,BioWare,Electronic Arts,,9608,854,"500,000 .. 1,000,000",1794,0,897,0,18,RPG,,0.0,"Single-player, Steam Trading Cards, Family Sharing",0.9183712483272797,0.8154123122042066,750000.0,81
18110,Shattered Horizon,Futuremark,Futuremark,,412,74,"100,000 .. 200,000",77,0,130,0,0,"Action, Indie",,0.0,"Single-player, Multi-player, Valve Anti-Cheat enabled, Family Sharing",0.8477366255144033,0.7799108412510286,150000.0,6
37100,Aztaka,Citeremis Inc.,Citeremis Inc.,,107,48,"50,000 .. 100,000",0,0,0,0,0,"Action, Indie, RPG",,0.0,"Single-player, Family Sharing",0.6903225806451613,0.7783263568750745,75000.0,4
41900,The Bard's Tale ARPG: Remastered and Resnarkled,inXile Entertainment,inXile Entertainment,,967,314,"500,000 .. 1,000,000",421,0,451,0,6,"Action, Adventure, RPG",USD,19.99,"Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing",0.7548790007806401,0.7777921920877644,750000.0,38
22370,Fallout 3: Game of the Year Edition,Bethesda Game Studios,Bethesda Softworks,,35207,8511,"2,000,000 .. 5,000,000",1150,161,353,161,797,RPG,USD,19.99,"Single-player, Family Sharing",0.8053204629671988,0.7946501360959616,3500000.0,226
24980,Mass Effect 2 (2010 Edition),BioWare,Electronic Arts,,14634,911,"1,000,000 .. 2,000,000",1156,0,277,0,12,RPG,,0.0,"Single-player, Family Sharing",0.9413959472499196,0.8350142891782792,1500000.0,109
45100,Secret of the Magic Crystals,Artery Games,Artery Games,,1362,297,"50,000 .. 100,000",172,0,158,0,4,"Casual, Indie",USD,4.99,"Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Steam Leaderboards, Family Sharing",0.8209764918625678,0.7810425661608451,75000.0,31
8850,BioShock 2,"2K Marin, 2K China, Digital Extremes, 2K Australia",2K,,12295,1482,"2,000,000 .. 5,000,000",159,0,62,0,37,Action,,0.0,"Single-player, Multi-player, Steam Achievements, Full controller support, Remote Play on TV, Family Sharing",0.8924294113377368,0.8150397273971575,3500000.0,161
37030,UFO: Extraterrestrials Gold,Chaos Concept,ND Games,,178,53,"100,000 .. 200,000",268,0,268,0,0,Strategy,,0.0,"Single-player, Family Sharing",0.7705627705627706,0.778726010385494,150000.0,2
12430,SlamIt Pinball Big Score,Technetium Games,Kalypso Media Digital,,44,82,"0 .. 20,000",0,0,0,0,0,Casual,USD,4.99,"Single-player, Family Sharing",0.3492063492063492,0.7769576921617602,10000.0,3
8190,Just Cause 2,Avalanche Studios,Square Enix,,45440,4587,"2,000,000 .. 5,000,000",946,15,184,15,161,"Action, Adventure",USD,14.99,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Family Sharing",0.908309512863054,0.8603547428105357,3500000.0,361
50910,Professor Fizzwizzle and the Molten Mystery,Big Fish Games,Big Fish Games,,33,0,"0 .. 20,000",0,0,0,0,0,Casual,USD,6.99,"Single-player, Family Sharing",1.0,0.7790380341899462,10000.0,1
21090,F.E.A.R.,"Monolith Productions, Inc., Timegate","Warner Bros. Games, Warner Bros. Interactive Entertainment",,13554,895,"1,000,000 .. 2,000,000",332,159,213,318,43,Action,USD,54.99,"Single-player, Family Sharing",0.9380579970932245,0.8312564674145894,1500000.0,107
32360,The Secret of Monkey Island: Special Edition,LucasArts,"LucasArts, Lucasfilm, Disney",,5120,244,"500,000 .. 1,000,000",355,0,268,0,38,Adventure,USD,9.99,"Single-player, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",0.9545115585384042,0.8058936311460503,750000.0,30
